,Life Expectancy
1960-01-01,65.6971219512195
1961-01-01,66.4416585365854
1962-01-01,66.9104634146342
1963-01-01,67.6451707317073
1964-01-01,68.2190975609756
1965-01-01,68.8668048780488
1966-01-01,69.2658536585366
1967-01-01,69.8278536585366
1968-01-01,70.2170243902439
1969-01-01,70.6271707317073
1970-01-01,70.9346829268293
1971-01-01,71.4680487804878
1972-01-01,71.4509756097561
1973-01-01,72.090243902439
1974-01-01,72.5978048780488
1975-01-01,73.3621951219512
1976-01-01,72.7890243902439
1977-01-01,73.3492682926829
1978-01-01,73.5407317073171
1979-01-01,73.6631707317073
1980-01-01,74.6534146341464
1981-01-01,75.3490243902439
1982-01-01,75.4385365853659
1983-01-01,75.2863414634146
1984-01-01,76.009512195122
1985-01-01,76.4292682926829
1986-01-01,76.6843902439024
1987-01-01,76.8978048780488
1988-01-01,77.0834146341464
1989-01-01,77.0287804878049
1990-01-01,77.3707317073171
1991-01-01,77.8729268292683
1992-01-01,77.6734146341464
1993-01-01,78.0160975609756
1994-01-01,78.5436585365854
1995-01-01,78.6787804878049
1996-01-01,79.6275609756098
1997-01-01,80.1121951219512
1998-01-01,80.1068292682927
1999-01-01,80.3726829268293
2000-01-01,80.8731707317073
2001-01-01,81.4192682926829
2002-01-01,81.4521951219512
2003-01-01,81.3434146341464
2004-01-01,81.7992682926829
2005-01-01,81.6090243902439
2006-01-01,82.3848780487805
2007-01-01,82.3668292682927
2008-01-01,82.3404878048781
2009-01-01,82.7751219512195
2010-01-01,82.9575609756098
2011-01-01,83.4119512195122
2012-01-01,83.450243902439
2013-01-01,83.8312195121951
2014-01-01,83.9356097560976
2015-01-01,84.2526829268293
2016-01-01,84.2114634146342
2017-01-01,84.6956097560976
2018-01-01,84.869756097561
2019-01-01,85.1558536585366
2020-01-01,85.4963414634146
2021-01-01,85.5326829268293
2022-01-01,83.6609756097561
2023-01-01,85.2473170731707
